,size,cuda,omp-target
196,5163793.0,762.887,720.956
197,5534417.0,763.771,724.875
198,5931641.0,767.636,729.421
199,6357376.0,768.138,733.3
200,6813666.0,771.716,736.483
201,7302707.0,770.514,740.827
202,7826848.0,773.169,744.16
203,8388608.0,771.469,745.44
204,8990687.0,775.235,749.566
205,9635980.0,777.155,750.814
206,10327587.0,774.427,753.532
207,11068834.0,775.955,756.441
208,11863283.0,775.883,757.634
209,12714752.0,777.393,760.335
210,13627333.0,777.47,762.451
211,14605414.0,777.194,762.679
212,15653696.0,774.052,766.207
213,16777216.0,776.572,767.427
214,17981374.0,767.912,761.171
215,19271960.0,767.093,762.549
216,20655175.0,763.545,765.522
217,22137669.0,769.765,768.279
218,23726566.0,767.577,768.246
219,25429504.0,770.146,767.453
220,27254667.0,769.097,771.029
221,29210829.0,775.634,771.988
222,31307392.0,774.855,772.528
223,33554432.0,771.937,772.565
224,35962749.0,776.125,775.003
225,38543920.0,778.409,776.53
226,41310351.0,773.642,776.424
227,44275338.0,777.174,778.594
228,47453132.0,776.977,779.481
229,50859008.0,776.028,781.058
230,54509335.0,777.866,781.555
231,58421659.0,779.015,781.756
232,62614784.0,769.865,781.289
233,67108864.0,778.89,782.417
234,71925499.0,774.854,782.9
235,77087841.0,776.758,784.196
236,82620702.0,777.577,784.353
237,88550676.0,775.105,783.717
238,94906265.0,768.821,785.632
239,101718016.0,773.994,784.477
240,109018671.0,770.704,785.151
241,116843318.0,771.232,785.441
242,125229568.0,772.201,785.914
243,134217728.0,771.632,785.694
244,143850999.0,768.523,786.681
245,154175683.0,767.222,787.165
246,165241405.0,768.728,787.242
247,177101353.0,766.893,787.692
248,189812531.0,762.29,787.266
249,203436033.0,757.641,788.255
250,218037342.0,753.579,787.854
251,233686637.0,750.855,788.442
252,250459136.0,761.382,787.984
253,268435456.0,760.003,788.854
254,287701998.0,752.448,788.861
255,308351366.0,752.789,789.346
256,330482811.0,752.326,788.919
257,354202707.0,750.451,787.938
258,379625062.0,748.763,789.358
259,406872067.0,748.668,788.695
260,436074684.0,745.569,788.719
261,467373274.0,747.738,789.62
262,500918273.0,738.266,789.782
263,536870912.0,746.134,788.901
264,575403996.0,740.537,788.998
265,616702733.0,736.679,789.842
266,660965623.0,732.401,789.083
267,708405415.0,732.186,789.987
268,759250124.0,735.119,789.208
269,813744135.0,734.625,790.113
270,872149369.0,735.499,790.282
271,934746549.0,729.7,789.397
272,1001836546.0,724.405,790.183
273,1073741824.0,726.538,789.59
