,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32
43,128.0,1.00687,0.968968,0.911165,0.907165,0.835289,0.843759,0.269618,0.256301,0.249829,0.24919,0.24531,0.26436
44,137.0,1.07177,1.00717,0.973879,0.982953,0.910897,0.909223,0.291639,0.271227,0.267293,0.267784,0.264373,0.276658
45,147.0,1.15752,1.10358,1.05658,1.06908,0.941852,0.971623,0.309721,0.295293,0.29255,0.286715,0.280956,0.302899
46,157.0,1.21834,1.14299,1.13584,1.11414,1.02939,1.01108,0.311444,0.307578,0.310486,0.305024,0.305932,0.319967
47,168.0,1.29816,1.22705,1.17941,1.20448,1.08536,1.07696,0.334883,0.332283,0.326761,0.329788,0.321057,0.340744
48,181.0,1.38716,1.34873,1.31829,1.29562,1.15703,1.15285,0.360701,0.357869,0.360552,0.353386,0.345857,0.373406
49,194.0,1.50486,1.39895,1.40476,1.36783,1.22612,1.23603,0.382922,0.390545,0.382001,0.383052,0.369226,0.392252
50,207.0,1.56371,1.51869,1.45163,1.38246,1.22741,1.25355,0.412059,0.406942,0.402536,0.411549,0.395887,0.42264
51,222.0,1.70759,1.59049,1.54952,1.51057,1.33337,1.29073,0.442174,0.441728,0.429958,0.43514,0.436127,0.425536
52,238.0,1.86875,1.75363,1.69347,1.57273,1.41462,1.41059,0.467452,0.471361,0.474606,0.468133,0.458537,0.462578
53,256.0,1.99953,1.89262,1.78058,1.6678,1.51257,1.48826,0.505216,0.509189,0.506253,0.497046,0.495354,0.495903
54,274.0,2.04695,1.97686,1.88853,1.76841,1.60395,1.59357,0.535691,0.54934,0.540933,0.53254,0.521479,0.524581
55,294.0,2.28003,2.10771,2.04236,1.93637,1.67939,1.68734,0.582897,0.576907,0.580257,0.584001,0.568865,0.561382
