,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,cuda-64,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32,omp-target-64
120,26615.0,10151.6,5077.64,2540.43,1270.38,635.227,605.622,311.011,13514.9,6778.91,3699.89,1859.33,907.746,935.823,919.07
121,28526.0,10880.4,5442.18,2722.93,1361.59,680.859,649.138,333.369,14119.7,7265.11,3635.51,1881.86,938.059,924.915,920.88
122,30573.0,11661.3,5832.67,2918.32,1459.28,729.725,695.678,357.274,15132.1,7786.32,3896.22,1946.9,973.853,940.336,922.075
123,32768.0,12498.5,6251.51,3127.73,1564.05,782.107,745.586,382.89,12512.6,7153.42,3567.49,1769.44,905.724,928.036,924.123
124,35119.0,13395.0,6697.26,3352.21,1676.26,838.213,799.058,410.38,13409.7,7666.64,3804.19,1760.62,943.013,924.542,925.931
125,37640.0,14356.8,7180.93,3592.8,1796.6,898.378,856.407,439.833,14371.7,7192.78,3602.95,1756.34,959.49,931.367,927.073
126,40342.0,15386.9,7696.13,3850.48,1925.34,962.871,917.914,471.381,15402.3,7708.72,3829.98,1818.51,919.385,930.396,928.035
127,43237.0,11000.9,5500.88,2751.39,1376.16,688.105,665.767,490.171,13207.3,7344.18,3692.98,1896.11,950.454,927.504,929.191
128,46340.0,11790.0,5895.6,2948.76,1474.91,737.49,720.371,525.546,14154.8,7086.91,3719.22,1858.44,946.426,927.431,930.846
129,49667.0,12636.8,6319.04,3160.42,1580.76,790.423,764.767,563.281,15170.1,7594.51,3785.2,1799.29,944.522,940.558,931.779
130,53231.0,13543.2,6772.41,3387.16,1694.19,847.13,819.583,603.467,13558.1,7399.57,3713.68,1818.39,969.093,936.702,932.54
131,57052.0,14514.9,7258.63,3630.22,1815.83,907.943,878.431,646.782,14530.8,7271.45,3768.62,1873.73,947.139,937.146,933.666
132,61147.0,15556.7,7779.65,3890.87,1946.17,973.11,941.547,693.204,15573.5,7792.93,3893.92,1947.84,974.036,941.097,934.388
133,65536.0,12509.1,6255.46,3128.25,1564.43,782.242,757.29,742.909,14307.3,7134.9,3516.62,1816.98,951.218,932.74,935.326
134,70239.0,13406.7,6704.26,3352.82,1676.77,838.364,811.619,796.234,15329.0,7634.04,3528.28,1884.81,949.239,934.947,936.109
135,75281.0,14369.0,7185.12,3593.54,1797.13,898.547,869.93,853.445,14383.9,7217.82,3511.55,1919.09,961.59,937.704,936.762
136,80684.0,15400.3,7700.38,3851.46,1926.15,963.03,932.404,914.743,15418.2,7570.81,3634.88,1838.21,956.765,935.171,937.252
137,86475.0,13206.4,6603.05,3302.45,1651.48,825.77,799.451,663.265,14689.4,7377.85,3789.32,1900.26,955.289,938.471,938.028
138,92681.0,14153.9,7077.04,3539.62,1770.02,885.018,856.826,714.339,14174.1,7446.36,3719.84,1896.89,961.298,937.801,938.824
139,99334.0,15169.9,7585.01,3793.7,1897.07,948.549,918.363,761.859,15188.7,7582.78,3584.88,1890.29,973.852,941.439,939.317
140,106463.0,13550.2,6774.49,3388.45,1694.31,847.199,820.204,814.997,14800.4,7440.94,3625.45,1938.36,969.358,940.18,939.696
141,114104.0,14522.4,7261.05,3631.68,1815.92,907.997,879.057,869.678,14542.3,7530.79,3753.14,1895.51,969.666,940.791,940.062
142,122294.0,15564.2,7782.33,3892.39,1946.25,973.173,942.203,935.637,15582.2,7787.74,3895.65,1948.3,974.184,941.884,940.542
143,131072.0,14297.8,7149.99,3576.01,1788.0,894.042,865.537,750.175,14269.7,7008.74,3623.41,1904.27,966.622,940.384,941.092
144,140479.0,15323.8,7663.14,3832.61,1916.35,958.184,927.689,804.006,15227.1,7008.32,3770.96,1899.03,964.392,941.51,941.303
145,150562.0,14371.3,7187.21,3594.19,1797.15,898.595,870.185,858.003,14410.9,7046.69,3838.16,1923.2,968.261,940.748,941.791
146,161368.0,15403.2,7703.03,3852.1,1926.17,963.066,932.423,920.868,15188.8,7271.82,3677.01,1911.86,971.972,941.383,942.043
147,172950.0,14639.9,7312.49,3303.13,1376.5,688.277,646.04,577.09,14756.1,7578.66,3805.16,1909.73,969.227,941.52,942.39
148,185363.0,14158.3,6721.65,3540.03,1475.27,737.662,630.144,540.16,14869.3,7446.93,3791.48,1922.43,969.289,942.073,942.549
149,198668.0,15120.0,6898.11,3748.99,1575.97,777.746,643.212,568.834,15145.0,7185.17,3778.22,1947.86,974.006,943.357,942.871
150,212927.0,14352.7,7392.87,3493.9,1646.59,807.619,650.315,595.657,14841.3,7257.57,3876.61,1938.81,972.317,943.033,943.124
151,228209.0,13804.9,7263.52,3600.53,1673.1,829.468,668.76,635.339,15081.1,7504.45,3787.85,1939.43,972.337,943.317,943.353
152,244589.0,14204.7,7055.19,3588.0,1691.01,846.713,715.706,651.187,15574.9,7791.37,3896.29,1948.49,974.379,943.913,943.587
153,262144.0,14310.0,7149.19,3739.08,1754.45,887.173,765.11,689.697,14131.0,7245.63,3805.02,1933.34,972.403,943.488,943.823
154,280958.0,15195.1,7059.76,3832.37,1777.01,894.418,811.963,742.483,14230.2,7540.31,3793.78,1927.52,973.355,943.397,944.054
