,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32
43,128.0,0.866206,0.905834,0.872667,0.848388,0.76802,0.810099,0.225195,0.218985,0.216798,0.221857,0.220775,0.219083
44,137.0,0.919231,0.914849,0.920279,0.908081,0.870247,0.851303,0.233496,0.234007,0.23174,0.232476,0.232925,0.231904
45,147.0,0.98892,1.01851,1.03081,0.959195,0.879564,0.894745,0.249574,0.250174,0.245642,0.250833,0.249108,0.245692
46,157.0,0.927478,1.04205,1.08667,1.02262,0.919731,0.921519,0.267082,0.266475,0.266197,0.264626,0.256575,0.265833
47,168.0,1.17445,1.175,1.17656,1.09312,0.827219,0.981564,0.286235,0.277451,0.285235,0.283835,0.283556,0.281598
48,181.0,1.28867,1.23312,1.21723,1.1804,1.03278,1.02958,0.305854,0.306711,0.305979,0.301814,0.303948,0.293165
49,194.0,1.29095,1.32869,1.35101,1.17776,1.15735,1.0962,0.331762,0.31974,0.328905,0.328109,0.325495,0.318747
50,207.0,1.36603,1.3512,1.40475,1.32802,1.23717,1.10225,0.35259,0.35355,0.351529,0.346894,0.336233,0.342992
51,222.0,1.45596,1.49262,1.44419,1.06285,1.32476,1.25006,0.377227,0.371974,0.375748,0.373618,0.360447,0.371156
52,238.0,1.50086,1.68544,1.53041,1.41393,1.29363,1.29556,0.404852,0.407675,0.401945,0.397456,0.396127,0.391305
53,256.0,1.81366,1.67626,1.73608,1.63931,1.44206,1.34628,0.437609,0.433769,0.432376,0.426489,0.422745,0.422584
54,274.0,1.65336,1.75294,1.60756,1.53067,1.44787,1.53398,0.465905,0.44458,0.46346,0.458923,0.454249,0.407982
55,294.0,1.82965,1.77294,1.89069,1.821,1.64363,1.6449,0.50326,0.49892,0.496301,0.49215,0.485168,0.485141
56,315.0,1.53258,2.01031,1.84522,1.91934,1.7483,1.74772,0.537358,0.504484,0.531993,0.527736,0.521971,0.521416
57,337.0,1.62747,2.0903,2.12483,2.01167,1.90073,1.75357,0.56133,0.564758,0.567856,0.566874,0.542128,0.556376
58,362.0,2.02543,2.28159,2.21945,2.07675,2.01468,1.95024,0.589202,0.596268,0.611845,0.598203,0.590255,0.599322
59,388.0,2.2665,2.43312,2.27813,2.22762,2.14541,2.14868,0.661477,0.640036,0.653065,0.652333,0.640881,0.640375
60,415.0,2.43331,2.60106,2.50168,2.25185,2.30016,2.22216,0.693666,0.664284,0.691679,0.692579,0.684935,0.669417
61,445.0,2.86753,2.65397,2.62637,2.52727,2.32284,2.3578,0.756027,0.727056,0.75223,0.745336,0.715177,0.731954
62,477.0,3.00767,2.82793,2.66718,2.56762,2.36003,2.3695,0.815325,0.786312,0.805899,0.799189,0.763636,0.766173
63,512.0,3.11221,3.13822,3.0446,2.65591,2.62421,2.59215,0.849301,0.839576,0.862645,0.851537,0.811497,0.841697
64,548.0,3.28342,3.34487,3.21384,2.98612,2.7668,2.71538,0.919843,0.894665,0.897276,0.908975,0.902945,0.906871
65,588.0,3.75215,3.53396,3.24564,3.22575,2.94706,2.96326,0.99366,0.966474,0.996022,0.983,0.969349,0.93424
66,630.0,3.84974,3.92009,3.4621,3.16141,3.24886,3.19523,1.05787,1.06504,1.06102,1.04626,1.04108,1.04716
