,size,cuda,omp-target
193,4194304.0,1511.32,1347.06
194,4495343.0,1515.65,1350.01
195,4817990.0,1524.64,1397.09
196,5163793.0,1519.66,1410.14
197,5534417.0,1528.05,1432.84
198,5931641.0,1535.11,1428.08
199,6357376.0,1550.28,1429.56
200,6813666.0,1544.05,1440.55
201,7302707.0,1538.9,1433.71
202,7826848.0,1530.89,1446.48
203,8388608.0,1540.06,1446.44
204,8990687.0,1536.69,1451.02
205,9635980.0,1553.55,1450.5
206,10327587.0,1551.36,1441.62
207,11068834.0,1553.16,1267.63
208,11863283.0,1546.14,1463.43
209,12714752.0,1553.87,1453.3
210,13627333.0,1562.5,1465.73
211,14605414.0,1561.3,1476.49
212,15653696.0,1560.22,1480.17
213,16777216.0,1562.44,1488.07
214,17981374.0,1540.12,1520.55
215,19271960.0,1544.14,1516.07
216,20655175.0,1533.48,1523.98
217,22137669.0,1506.53,1531.67
218,23726566.0,1490.06,1541.98
219,25429504.0,1476.36,1544.24
220,27254667.0,1474.8,1586.59
221,29210829.0,1486.98,1600.57
222,31307392.0,1523.39,1581.96
223,33554432.0,1544.03,1561.99
224,35962749.0,1561.06,1554.8
225,38543920.0,1521.17,1562.81
226,41310351.0,1583.31,1569.19
227,44275338.0,1592.85,1559.02
228,47453132.0,1586.63,1529.74
229,50859008.0,1591.07,1534.52
230,54509335.0,1599.94,1526.08
231,58421659.0,1580.02,1524.52
232,62614784.0,1601.75,1547.82
233,67108864.0,1599.08,1554.51
234,71925499.0,1596.49,1635.32
235,77087841.0,1584.58,1628.93
236,82620702.0,1557.94,1622.45
237,88550676.0,1577.6,1633.36
238,94906265.0,1603.54,1638.88
239,101718016.0,1603.47,1626.18
240,109018671.0,1598.83,1618.49
241,116843318.0,1602.29,1623.37
242,125229568.0,1611.87,1637.87
243,134217728.0,1602.14,1641.11
244,143850999.0,1588.5,1647.45
245,154175683.0,1598.91,1636.3
246,165241405.0,1578.61,1646.26
247,177101353.0,1601.54,1638.93
248,189812531.0,1598.19,1638.17
249,203436033.0,1596.13,1636.02
250,218037342.0,1598.33,1646.29
251,233686637.0,1591.66,1644.18
252,250459136.0,1599.43,1643.67
253,268435456.0,1601.66,1641.41
254,287701998.0,1598.47,1645.13
255,308351366.0,1588.36,1643.47
256,330482811.0,1599.66,1641.18
257,354202707.0,1599.32,1644.91
258,379625062.0,1598.18,1646.57
259,406872067.0,1600.9,1646.26
260,436074684.0,1602.66,1645.56
261,467373274.0,1603.01,1645.75
262,500918273.0,1595.8,1646.64
263,536870912.0,1601.53,1646.63
264,575403996.0,1594.9,1645.32
265,616702733.0,1602.73,1648.36
266,660965623.0,1599.87,1646.6
267,708405415.0,1595.55,1647.78
268,759250124.0,1602.32,1648.85
269,813744135.0,1596.11,1650.47
270,872149369.0,1601.2,1649.35
271,934746549.0,1597.42,1649.23
272,1001836546.0,1602.38,1650.28
273,1073741824.0,1600.12,1650.43
